geneID	PR	FR	PS	FS	Tsil	Trepl	nout	npop
Potra000002g00003	3	1	1	3	3107111	15039033	1	94
Potra000002g00005	14	15	5	4	3107111	15039033	1	94
Potra000002g00006	12	4	5	3	3107111	15039033	1	94
Potra000002g00007	37	19	9	4	3107111	15039033	1	94
Potra000002g00012	2	0	12	13	3107111	15039033	1	94
Potra000002g00013	2	2	0	0	3107111	15039033	1	94
Potra000002g00014	3	0	2	0	3107111	15039033	1	94
Potra000002g00016	4	3	2	0	3107111	15039033	1	94
Potra000002g00017	38	7	21	4	3107111	15039033	1	94
Potra000002g00018	9	8	10	16	3107111	15039033	1	94
Potra000003g00019	17	19	10	7	3107111	15039033	1	94
Potra000003g00020	11	4	5	6	3107111	15039033	1	94
Potra000003g00021	48	31	14	11	3107111	15039033	1	94
Potra000003g00022	7	1	7	6	3107111	15039033	1	94
Potra000003g00024	13	11	5	4	3107111	15039033	1	94
Potra000004g00025	2	3	2	2	3107111	15039033	1	94
Potra000005g00027	12	3	13	4	3107111	15039033	1	94
Potra000006g00029	19	10	6	12	3107111	15039033	1	94
Potra000006g00031	31	25	15	7	3107111	15039033	1	94
Potra000006g00032	7	0	1	0	3107111	15039033	1	94
Potra000007g00034	3	4	2	1	3107111	15039033	1	94
Potra000007g00035	21	13	13	6	3107111	15039033	1	94
Potra000007g33219	6	8	1	1	3107111	15039033	1	94
Potra000008g00036	5	5	3	0	3107111	15039033	1	94
Potra000008g00037	7	3	3	3	3107111	15039033	1	94
Potra000008g00038	12	1	5	3	3107111	15039033	1	94
Potra000008g00041	17	15	20	7	3107111	15039033	1	94
Potra000008g00042	22	6	12	6	3107111	15039033	1	94
Potra000008g00044	20	10	19	5	3107111	15039033	1	94
Potra000009g00045	28	15	12	6	3107111	15039033	1	94
Potra000009g00046	6	2	6	1	3107111	15039033	1	94
Potra000009g00048	14	1	8	3	3107111	15039033	1	94
Potra000009g00049	5	2	2	3	3107111	15039033	1	94
Potra000009g00050	15	7	5	6	3107111	15039033	1	94
Potra000009g00052	9	7	5	1	3107111	15039033	1	94
Potra000009g00054	26	18	26	20	3107111	15039033	1	94
Potra000010g00056	7	3	7	6	3107111	15039033	1	94
Potra000011g00057	3	1	1	0	3107111	15039033	1	94
Potra000012g00058	30	10	11	11	3107111	15039033	1	94
Potra000012g00059	6	1	7	4	3107111	15039033	1	94
Potra000012g00060	12	4	4	3	3107111	15039033	1	94
Potra000012g00061	6	4	4	3	3107111	15039033	1	94
Potra000013g00062	11	6	7	1	3107111	15039033	1	94
Potra000013g00064	27	6	17	6	3107111	15039033	1	94
Potra000013g00065	13	11	13	5	3107111	15039033	1	94
Potra000013g00066	2	2	5	3	3107111	15039033	1	94
Potra000013g00067	9	4	17	5	3107111	15039033	1	94
Potra000013g00068	27	17	13	11	3107111	15039033	1	94
Potra000014g00069	30	13	22	9	3107111	15039033	1	94
Potra000014g00071	18	4	11	5	3107111	15039033	1	94
Potra000014g00073	7	3	7	3	3107111	15039033	1	94
Potra000014g00074	5	8	2	3	3107111	15039033	1	94
Potra000015g00076	8	10	6	1	3107111	15039033	1	94
Potra000015g00077	8	9	3	4	3107111	15039033	1	94
Potra000016g00079	7	5	4	3	3107111	15039033	1	94
Potra000016g00080	23	18	15	3	3107111	15039033	1	94
Potra000016g00082	12	15	10	4	3107111	15039033	1	94
Potra000016g00083	32	9	18	12	3107111	15039033	1	94
Potra000016g00084	17	13	8	5	3107111	15039033	1	94
Potra000016g00086	7	4	3	3	3107111	15039033	1	94
Potra000016g00087	14	14	9	6	3107111	15039033	1	94
Potra000016g00089	9	6	5	6	3107111	15039033	1	94
